File,Type,UUID,Key,Version/Edition,Company/Purpose
f.txt,Office/Project Ohook Activation,533b656a-4425-480b-8e30-1a2358898350,MAK,MondoVL,
f.txt,Office/Project Ohook Activation,4d463c2c-0505-4626-8cdb-a4da82e2d8ed,0015,AccessR,
f.txt,Office/Project Ohook Activation,745fb377-0a59-4ca9-b9a9-c359557a2c4e,001C,AccessRuntimeR,
f.txt,Office/Project Ohook Activation,95ab3ec8-4106-4f9d-b632-03c019d1d23f,0015,AccessVL,
f.txt,Office/Project Ohook Activation,4eaff0d0-c6cb-4187-94f3-c7656d49a0aa,0016,ExcelR_[HSExcelR],
f.txt,Office/Project Ohook Activation,71dc86ff-f056-40d0-8ffb-9592705c9b76,0016,ExcelVL,
f.txt,Office/Project Ohook Activation,7004b7f0-6407-4f45-8eac-966e5f868bde,00BA,GrooveR,
f.txt,Office/Project Ohook Activation,fdad0dfa-417d-4b4f-93e4-64ea8867b7fd,00BA,GrooveVL,
f.txt,Office/Project Ohook Activation,7b7d1f17-fdcb-4820-9789-9bec6e377821,0013,HomeBusinessR_[HomeBusinessDemoR],
f.txt,Office/Project Ohook Activation,19316117-30a8-4773-8fd9-7f7231f4e060,011E,HomeBusinessSubR,
f.txt,Office/Project Ohook Activation,09e2d37e-474b-4121-8626-58ad9be5776f,002F,HomeStudentR_[HomeStudentDemoR],
f.txt,Office/Project Ohook Activation,ef1da464-01c8-43a6-91af-e4e5713744f9,0044,InfoPathR,
f.txt,Office/Project Ohook Activation,85e22450-b741-430c-a172-a37962c938af,0044,InfoPathVL,
f.txt,Office/Project Ohook Activation,14f5946a-debc-4716-babc-7e2c240fec08,000F,MondoR,
f.txt,Office/Project Ohook Activation,533b656a-4425-480b-8e30-1a2358898350,000F,MondoVL,
f.txt,Office/Project Ohook Activation,c1ceda8b-c578-4d5d-a4aa-23626be4e234,003D,ProfessionalR_[OEM-SingleImage]Exception,
f.txt,Office/Project Ohook Activation,3f7aa693-9a7e-44fc-9309-bb3d8e604925,00A1,OneNoteR_[HSOneNoteR],
f.txt,Office/Project Ohook Activation,6860b31f-6a67-48b8-84b9-e312b3485c4b,00A1,OneNoteVL,
f.txt,Office/Project Ohook Activation,fbf4ac36-31c8-4340-8666-79873129cf40,001A,OutlookR,
f.txt,Office/Project Ohook Activation,a9aeabd8-63b8-4079-a28e-f531807fd6b8,001A,OutlookVL,
f.txt,Office/Project Ohook Activation,acb51361-c0db-4895-9497-1831c41f31a6,0033,"PersonalR_[PersonalDemoR,PersonalPrepaidR]",
f.txt,Office/Project Ohook Activation,133c8359-4e93-4241-8118-30bb18737ea0,0018,PowerPointR_[HSPowerPointR],
f.txt,Office/Project Ohook Activation,38252940-718c-4aa6-81a4-135398e53851,0018,PowerPointVL,
f.txt,Office/Project Ohook Activation,8b559c37-0117-413e-921b-b853aeb6e210,0014,"ProfessionalR_[ProfessionalAcadR,ProfessionalDemoR]",
f.txt,Office/Project Ohook Activation,725714d7-d58f-4d12-9fa8-35873c6f7215,003B,ProjectProR_[ProjectProMSDNR],
f.txt,Office/Project Ohook Activation,4d06f72e-fd50-4bc2-a24b-d448d7f17ef2,011F,ProjectProSubR,
f.txt,Office/Project Ohook Activation,1cf57a59-c532-4e56-9a7d-ffa2fe94b474,003B,ProjectProVL,
f.txt,Office/Project Ohook Activation,688f6589-2bd9-424e-a152-b13f36aa6de1,003A,ProjectStdR,
f.txt,Office/Project Ohook Activation,11b39439-6b93-4642-9570-f2eb81be2238,003A,ProjectStdVL,
f.txt,Office/Project Ohook Activation,71af7e84-93e6-4363-9b69-699e04e74071,0011,"ProPlusR_[ProPlusAcadR,ProPlusMSDNR,Sub4R]",
f.txt,Office/Project Ohook Activation,e98ef0c0-71c4-42ce-8305-287d8721e26c,011D,ProPlusSubR,
f.txt,Office/Project Ohook Activation,fdf3ecb9-b56f-43b2-a9b8-1b48b6bae1a7,0011,ProPlusVL_[ProPlusAcadVL],
f.txt,Office/Project Ohook Activation,98677603-a668-4fa4-9980-3f1f05f78f69,0019,PublisherR,
f.txt,Office/Project Ohook Activation,3d014759-b128-4466-9018-e80f6320d9d0,0019,PublisherVL,
f.txt,Office/Project Ohook Activation,dbe3aee0-5183-4ff7-8142-66050173cb01,008B,SmallBusBasicsR_[SmallBusBasicsMSDNR],
f.txt,Office/Project Ohook Activation,8090771e-d41a-4482-929e-de87f1f47e46,008B,SmallBusBasicsVL,
f.txt,Office/Project Ohook Activation,b78df69e-0966-40b1-ae85-30a5134dedd0,0017,SPDR,
f.txt,Office/Project Ohook Activation,d3422cfb-8d8b-4ead-99f9-eab0ccd990d7,0012,StandardR,
f.txt,Office/Project Ohook Activation,1f76e346-e0be-49bc-9954-70ec53a4fcfe,0012,StandardVL_[StandardAcadVL],
